"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-04-08 08:02:46","98323522","POLUSDC","Limit","SELL","0.869","1000POL","2025-04-08 08:02:46","0POL","0","0USDC","NEW"
"2025-04-07 04:56:04","32612834","POLEUR","Limit","BUY","0.11","6360POL","2025-04-07 04:56:04","0POL","0","0EUR","NEW"
"2025-04-07 04:51:43","318149217","AVAXEUR","Limit","BUY","14.22","300AVAX","2025-04-07 06:17:25","300AVAX","14.22","4266EUR","FILLED"
"2025-04-07 04:48:47","50797300","EUREURI","Market","BUY","0","4999.1EUR","2025-04-07 04:48:47","4999.1EUR","1.0008","5003.09928EURI","FILLED"
"2025-04-07 04:42:26","32610772","POLEUR","Limit","BUY","0.1509","1500POL","2025-04-07 04:42:26","1500POL","0.15021415","225.32123EUR","FILLED"
"2025-04-07 04:39:35","475264840","DOTEUR","Limit","BUY","3.177","1500DOT","2025-04-07 04:49:47","1500DOT","3.177","4765.5EUR","FILLED"
"2025-04-07 04:37:00","50794521","EUREURI","Market","BUY","0","4994EUR","2025-04-07 04:37:00","4994EUR","1.00119028","4999.94428EURI","FILLED"
"2025-04-07 04:31:52","266056035","DOTUSDC","Market","BUY","0","549.26DOT","2025-04-07 04:31:52","549.26DOT","3.532","1939.98632USDC","FILLED"
"2025-04-06 17:21:08","265108575","DOTUSDC","Limit","BUY","3.838","1100DOT","2025-04-06 17:22:32","1100DOT","3.838","4221.8USDC","FILLED"
"2025-04-06 17:11:27","1419945112","XRPUSDC","Limit","BUY","2.0202","250XRP","2025-04-06 18:07:21","250XRP","2.0202","505.05USDC","FILLED"
"2025-04-06 17:08:30","96927167","POLUSDC","Limit","BUY","0.1802","8000POL","2025-04-06 17:10:11","8000POL","0.1802","1441.6USDC","FILLED"
"2025-04-06 17:00:16","63751530","TONUSDC","Limit","BUY","3.033","3TON","2025-04-06 20:10:34","3TON","3.033","9.099USDC","FILLED"
"2025-04-06 16:56:10","109909804","TAOUSDC","Limit","BUY","202.2","4.9TAO","2025-04-06 17:13:47","4.9TAO","202.2","990.78USDC","FILLED"
"2025-04-06 16:52:39","109907260","TAOUSDC","Market","BUY","0","4.8923TAO","2025-04-06 16:52:39","4.8923TAO","204.4","999.98612USDC","FILLED"
"2025-04-06 11:57:04","264942832","DOTUSDC","Limit","BUY","3.818","30DOT","2025-04-06 17:27:37","30DOT","3.818","114.54USDC","FILLED"
"2025-04-06 11:55:32","264942488","DOTUSDC","Market","BUY","0","2035.63DOT","2025-04-06 11:55:32","2035.63DOT","3.92997624","7999.97753USDC","FILLED"
"2025-03-29 20:21:45","262273233","ATOMUSDC","Limit","BUY","3.888","100ATOM","2025-03-29 20:21:45","0ATOM","0","0USDC","NEW"
"2025-03-29 20:20:56","262272793","ATOMUSDC","Limit","SELL","9.876","100ATOM","2025-03-29 20:20:56","0ATOM","0","0USDC","NEW"
"2025-03-29 20:19:45","262272289","ATOMUSDC","Limit","BUY","4.043","300ATOM","2025-03-29 20:19:45","0ATOM","0","0USDC","NEW"
"2025-03-29 20:10:13","116324932","RUNEUSDC","Limit","BUY","0.923","100RUNE","2025-03-29 20:10:13","0RUNE","0","0USDC","NEW"
"2025-03-29 20:09:02","116324741","RUNEUSDC","Limit","SELL","2.234","100RUNE","2025-03-29 20:09:02","0RUNE","0","0USDC","NEW"
"2025-03-29 20:00:29","1366239825","XRPUSDC","Market","BUY","0","469XRP","2025-03-29 20:00:29","469XRP","2.1319","999.8611USDC","FILLED"
"2025-03-29 19:58:20","116323210","RUNEUSDC","Market","BUY","0","888RUNE","2025-03-29 19:58:20","888RUNE","1.126","999.888USDC","FILLED"
"2025-03-29 19:54:37","116322717","RUNEUSDC","Market","BUY","0","889.6RUNE","2025-03-29 19:54:37","889.6RUNE","1.124","999.9104USDC","FILLED"
"2025-03-29 19:52:41","876854966","USDCUSDT","Market","BUY","0","16419USDC","2025-03-29 19:52:41","16419USDC","1.0004","16425.5676USDT","FILLED"
"2025-03-29 19:50:44","19217255","EURIUSDT","Market","SELL","0","14186.5EURI","2025-03-29 19:50:44","14186.5EURI","1.08156819","15343.66709USDT","FILLED"
"2025-03-29 19:49:52","19217249","EURIUSDT","Market","SELL","0","1000EURI","2025-03-29 19:49:52","1000EURI","1.0818","1081.8USDT","FILLED"
"2025-03-28 23:38:40","1360456321","XRPUSDC","Limit","BUY","2.2003","843XRP","2025-03-29 00:01:57","843XRP","2.2003","1854.8529USDC","FILLED"
"2025-03-28 23:35:24","1360449059","XRPUSDC","Limit","BUY","2.1964","800XRP","2025-03-28 23:35:30","0XRP","0","0USDC","CANCELED"
"2025-03-28 23:25:13","19198225","EURIUSDT","Limit","BUY","1.0828","1848.3EURI","2025-03-28 23:35:00","1848.3EURI","1.0828","2001.33924USDT","FILLED"
"2025-03-27 16:19:12","394351604","EURUSDT","Limit","BUY","1.0795","9.6EUR","2025-03-27 16:19:31","9.6EUR","1.0795","10.3632USDT","FILLED"
"2025-03-27 16:09:05","873145559","USDCUSDT","Limit","SELL","1.0008","2000USDC","2025-03-28 17:56:08","2000USDC","1.0008","2001.6USDT","FILLED"
"2025-03-27 16:07:11","873142966","USDCUSDT","Limit","SELL","1.0003","2000USDC","2025-03-27 16:08:38","0USDC","0","0USDT","CANCELED"
"2025-03-27 15:58:16","19096648","EURIUSDT","Limit","BUY","1.0811","8596EURI","2025-03-27 15:58:16","8596EURI","1.07990845","9282.89301USDT","FILLED"
"2025-03-27 15:54:25","19095796","EURIUSDT","Limit","BUY","1.0811","10000EURI","2025-03-27 15:54:25","10000EURI","1.08098","10809.8USDT","FILLED"
"2025-03-27 15:48:33","873115541","USDCUSDT","Market","SELL","0","10000USDC","2025-03-27 15:48:33","10000USDC","1.0001","10001USDT","FILLED"
"2025-03-27 15:33:07","873089678","USDCUSDT","Limit","SELL","1.0002","10000USDC","2025-03-27 15:48:23","10000USDC","1.0002","10002USDT","FILLED"
"2025-03-27 15:30:21","873085021","USDCUSDT","Market","SELL","0","100USDC","2025-03-27 15:30:21","100USDC","1.0001","100.01USDT","FILLED"
"2025-03-27 14:55:47","19089152","EURIUSDT","Limit","BUY","1.079","4635EURI","2025-03-27 14:56:59","4635EURI","1.079","5001.165USDT","FILLED"
"2025-03-27 14:53:52","873024232","USDCUSDT","Limit","SELL","1.0002","5000USDC","2025-03-27 14:53:52","5000USDC","1.0002","5001USDT","FILLED"
"2025-03-27 14:52:55","873022792","USDCUSDT","Limit","SELL","1.0003","10000USDC","2025-03-27 15:46:27","0USDC","0","0USDT","CANCELED"
"2025-03-27 14:51:37","873020445","USDCUSDT","Limit","SELL","1.0003","10000USDC","2025-03-27 15:32:48","0USDC","0","0USDT","CANCELED"
"2025-03-27 14:48:50","873015404","USDCUSDT","Limit","SELL","1.0004","10000USDC","2025-03-27 14:52:09","0USDC","0","0USDT","CANCELED"
