"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2024-12-24 21:17:58","205707213","SUIFDUSD","Limit","BUY","3.1234","400SUI","2024-12-24 21:17:58","0SUI","0","0FDUSD","NEW"
"2024-12-22 21:09:31","595916947","ADAEUR","Limit","SELL","1.0155","6900ADA","2024-12-22 21:09:31","0ADA","0","0EUR","NEW"
"2024-12-22 21:02:39","498441647","WIFFDUSD","Limit","BUY","1.901","700WIF","2024-12-22 22:10:35","700WIF","1.901","1330.7FDUSD","FILLED"
"2024-12-22 20:55:54","498437488","WIFFDUSD","Limit","BUY","1.855","2000WIF","2024-12-23 13:40:59","2000WIF","1.855","3710FDUSD","FILLED"
"2024-12-22 14:33:49","129501538","ATOMFDUSD","Limit","SELL","18.44","0.6ATOM","2024-12-22 14:33:49","0ATOM","0","0FDUSD","NEW"
"2024-12-22 14:30:34","129497040","ATOMFDUSD","Limit","BUY","3.888","1000ATOM","2024-12-22 14:30:34","0ATOM","0","0FDUSD","NEW"
"2024-12-22 14:15:52","1062674850","CAKEUSDT","Limit","BUY","1.666","1000CAKE","2024-12-22 14:15:52","0CAKE","0","0USDT","NEW"
"2024-12-22 14:15:19","1062673490","CAKEUSDT","Limit","BUY","1.919","4000CAKE","2024-12-22 14:15:19","0CAKE","0","0USDT","NEW"
"2024-12-22 14:01:46","1062637373","CAKEUSDT","Limit","SELL","6.666","1100CAKE","2024-12-22 14:01:46","0CAKE","0","0USDT","NEW"
"2024-12-22 13:20:32","287588898","LINKFDUSD","Limit","SELL","26.78","213LINK","2024-12-22 13:20:32","0LINK","0","0FDUSD","NEW"
"2024-12-22 13:12:27","50632585","POLFDUSD","Limit","SELL","1.2929","1100POL","2024-12-22 13:12:27","0POL","0","0FDUSD","NEW"
"2024-12-22 13:11:31","50632160","POLFDUSD","Limit","SELL","1.1919","1000POL","2024-12-22 13:11:31","0POL","0","0FDUSD","NEW"
"2024-12-22 13:11:05","50632018","POLFDUSD","Limit","SELL","1.0999","1000POL","2024-12-22 13:11:05","0POL","0","0FDUSD","NEW"
"2024-12-22 13:10:28","50631655","POLFDUSD","Limit","SELL","0.9988","1000POL","2024-12-22 13:10:28","0POL","0","0FDUSD","NEW"
"2024-12-22 13:09:57","50631313","POLFDUSD","Limit","SELL","0.8888","1000POL","2024-12-22 14:41:21","0POL","0","0FDUSD","CANCELED"
"2024-12-22 13:09:39","50631153","POLFDUSD","Limit","SELL","0.7777","1000POL","2024-12-22 14:39:34","0POL","0","0FDUSD","CANCELED"
"2024-12-22 13:09:17","50631024","POLFDUSD","Limit","SELL","0.6666","1000POL","2024-12-22 14:39:26","0POL","0","0FDUSD","CANCELED"
"2024-12-20 21:40:44","496408938","WIFFDUSD","Limit","BUY","1.888","100WIF","2024-12-21 19:35:48","100WIF","1.888","188.8FDUSD","FILLED"
"2024-12-20 21:39:43","496408309","WIFFDUSD","Limit","BUY","1.789","500WIF","2024-12-20 21:39:43","0WIF","0","0FDUSD","NEW"
"2024-12-20 21:37:55","3014660976","WIFUSDT","Limit","BUY","2.022","100WIF","2024-12-21 13:21:43","100WIF","2.022","202.2USDT","FILLED"
"2024-12-16 22:59:13","2219084626","RUNEUSDT","Limit","SELL","8.888","22RUNE","2024-12-16 22:59:13","0RUNE","0","0USDT","NEW"
"2024-12-15 21:53:24","277110435","LINKFDUSD","Limit","SELL","33.66","200LINK","2024-12-15 21:53:24","0LINK","0","0FDUSD","NEW"
"2024-12-15 21:52:32","277109854","LINKFDUSD","Limit","SELL","28.55","200LINK","2024-12-15 22:24:13","200LINK","28.55","5710FDUSD","FILLED"
"2024-12-15 21:46:21","277105325","LINKFDUSD","Limit","BUY","33.66","200LINK","2024-12-15 21:46:21","200LINK","28.321966","5664.3932FDUSD","FILLED"
"2024-12-15 19:00:36","277000817","LINKFDUSD","Limit","SELL","29.92","300LINK","2024-12-16 09:37:56","300LINK","29.92","8976FDUSD","FILLED"
"2024-12-12 00:00:28","2177811584","ZECUSDT","Limit","SELL","67.89","26.444ZEC","2024-12-12 00:00:28","0ZEC","0","0USDT","NEW"
"2024-12-05 15:41:54","2161671556","ZECUSDT","Limit","SELL","87.65","20ZEC","2024-12-05 15:41:54","0ZEC","0","0USDT","NEW"
"2024-12-05 15:41:05","2161670190","ZECUSDT","Limit","SELL","77.66","100ZEC","2024-12-05 15:41:05","0ZEC","0","0USDT","NEW"
"2024-12-05 15:34:01","4073250452","FTMUSDT","Limit","SELL","1.8888","10000FTM","2024-12-05 15:34:01","0FTM","0","0USDT","NEW"
"2024-12-05 15:31:26","1763855903","SOLFDUSD","Limit","SELL","288.88","50SOL","2024-12-05 15:31:26","0SOL","0","0FDUSD","NEW"
"2024-11-27 11:27:24","204426326","AVAXFDUSD","Limit","SELL","47.89","200AVAX","2024-12-02 03:19:44","200AVAX","47.89","9578FDUSD","FILLED"
"2024-11-27 10:50:47","180379283","ADAFDUSD","Limit","SELL","1.1555","750ADA","2024-12-01 21:25:03","750ADA","1.1555","866.625FDUSD","FILLED"
"2024-11-27 10:46:17","180366265","ADAFDUSD","Limit","SELL","1.0666","100ADA","2024-11-29 07:05:59","100ADA","1.0666","106.66FDUSD","FILLED"
"2024-11-27 10:42:40","250715292","LINKFDUSD","Limit","SELL","22.44","400LINK","2024-12-02 17:07:43","400LINK","22.44","8976FDUSD","FILLED"
"2024-11-25 23:41:35","1207667613","KSMUSDT","Limit","SELL","45.67","120KSM","2024-11-26 00:45:35","120KSM","45.67","5480.4USDT","FILLED"
"2024-11-25 23:36:53","5352522996","ADAUSDT","Limit","SELL","1.0654","100ADA","2024-11-27 10:43:12","0ADA","0","0USDT","CANCELED"
"2024-11-22 08:56:19","194778797","AVAXFDUSD","Limit","SELL","56.78","200AVAX","2024-11-27 11:26:58","0AVAX","0","0FDUSD","CANCELED"
"2024-11-22 08:53:11","2127108935","ZECUSDT","Limit","SELL","47.47","50ZEC","2024-11-23 01:02:52","50ZEC","47.47","2373.5USDT","FILLED"
"2024-11-22 08:48:23","1663404982","SOLFDUSD","Limit","SELL","266.62","50SOL","2024-11-22 08:48:23","0SOL","0","0FDUSD","NEW"
"2024-11-18 15:04:48","2121660402","ZECUSDT","Limit","SELL","47.89","50ZEC","2024-11-22 08:50:30","0ZEC","0","0USDT","CANCELED"
"2024-11-18 14:51:48","331600756","TONUSDT","Limit","BUY","5.055","100TON","2024-11-18 14:51:48","0TON","0","0USDT","NEW"
"2024-11-18 14:49:08","2513145056","SUIUSDT","Limit","BUY","3.6666","100SUI","2024-11-18 19:11:00","100SUI","3.6666","366.66USDT","FILLED"
"2024-11-18 14:25:32","2664434206","WIFUSDT","Limit","BUY","3.456","100WIF","2024-11-18 15:25:07","100WIF","3.456","345.6USDT","FILLED"
"2024-11-18 14:13:59","2656868486","PEPEUSDT","Limit","BUY","0.00002022","5000000PEPE","2024-11-18 19:11:13","5000000PEPE","0.00002022","101.1USDT","FILLED"
"2024-11-18 14:07:00","1131897793","PENDLEUSDT","Limit","BUY","4.567","400PENDLE","2024-11-18 14:07:00","0PENDLE","0","0USDT","NEW"
"2024-11-18 13:55:40","558426971","TAOUSDT","Limit","BUY","480.1","2TAO","2024-11-18 13:58:25","2TAO","480.1","960.2USDT","FILLED"
"2024-11-18 13:43:52","46268875","CETUSUSDT","Limit","BUY","0.3131","1000CETUS","2024-11-20 18:01:16","1000CETUS","0.3131","313.1USDT","FILLED"
"2024-11-18 13:34:28","3014881863","GALAUSDT","Limit","BUY","0.025","15000GALA","2024-11-18 13:34:28","0GALA","0","0USDT","NEW"
"2024-11-18 11:06:30","3652331290","AVAXUSDT","Limit","SELL","56.78","200AVAX","2024-11-22 08:54:44","0AVAX","0","0USDT","CANCELED"
"2024-11-18 08:43:15","8460658809","SOLUSDT","Limit","SELL","266.62","100SOL","2024-11-22 08:44:42","0SOL","0","0USDT","CANCELED"
"2024-11-18 08:40:59","8460632639","SOLUSDT","Limit","SELL","244.42","100SOL","2024-11-18 09:51:20","100SOL","244.42","24442USDT","FILLED"
"2024-10-28 17:40:27","2095303430","ZECUSDT","Limit","SELL","44.55","2ZEC","2024-10-28 17:40:27","0ZEC","0","0USDT","NEW"
"2024-10-28 16:35:18","2545323468","MANAUSDT","Limit","BUY","0.2666","60MANA","2024-11-03 13:33:44","60MANA","0.2666","15.996USDT","FILLED"
"2024-10-28 16:17:42","1151631142","KSMUSDT","Limit","BUY","16.66","100KSM","2024-10-31 17:07:45","100KSM","16.66","1666USDT","FILLED"
"2024-10-28 15:55:15","1151621300","KSMUSDT","Limit","BUY","16.85","99KSM","2024-10-28 15:55:15","99KSM","16.84707313","1667.86024USDT","FILLED"
"2024-10-27 13:13:10","1150708866","KSMUSDT","Limit","BUY","16.91","94KSM","2024-10-28 03:52:11","94KSM","16.91","1589.54USDT","FILLED"
"2024-10-27 13:12:13","1150707891","KSMUSDT","Limit","BUY","16.77","100KSM","2024-10-28 16:01:41","0KSM","0","0USDT","CANCELED"
"2024-10-27 12:58:12","1150696466","KSMUSDT","Limit","BUY","16.92","100KSM","2024-10-27 13:00:41","100KSM","16.92","1692USDT","FILLED"
"2024-10-27 12:55:09","1150694921","KSMUSDT","Limit","BUY","16.16","200KSM","2024-10-27 13:12:00","0KSM","0","0USDT","CANCELED"
"2024-10-27 12:54:34","1150694816","KSMUSDT","Limit","BUY","16.78","100KSM","2024-10-28 16:01:46","100KSM","16.78","1678USDT","FILLED"
"2024-10-27 12:53:51","1150694352","KSMUSDT","Limit","BUY","16.66","100KSM","2024-10-28 15:54:38","0KSM","0","0USDT","CANCELED"
"2024-10-27 12:53:07","1150693970","KSMUSDT","Limit","BUY","16.9","100KSM","2024-10-28 04:00:38","100KSM","16.9","1690USDT","FILLED"
"2024-05-15 20:06:26","1941493886","ZECUSDT","Limit","BUY","22.66","46ZEC","2024-06-11 13:43:25","46ZEC","22.66","1042.36USDT","FILLED"
"2024-05-13 20:50:43","1940518577","ZECUSDT","Limit","BUY","21.9","42ZEC","2024-05-14 06:17:26","42ZEC","21.9","919.8USDT","FILLED"
"2024-05-13 20:46:51","1940516811","ZECUSDT","Limit","BUY","21.67","50ZEC","2024-05-15 20:05:28","0ZEC","0","0USDT","CANCELED"
"2024-05-13 20:37:26","782622057","CAKEUSDT","Limit","BUY","2.606","285CAKE","2024-05-13 21:25:59","285CAKE","2.606","742.71USDT","FILLED"
"2024-05-13 20:36:12","782621690","CAKEUSDT","Limit","BUY","2.577","400CAKE","2024-05-14 01:44:11","400CAKE","2.577","1030.8USDT","FILLED"
"2024-05-13 20:35:00","782621263","CAKEUSDT","Limit","BUY","2.525","500CAKE","2024-05-14 13:49:21","500CAKE","2.525","1262.5USDT","FILLED"
"2024-05-13 20:02:56","3216953519","FTMUSDT","Limit","BUY","0.6789","840FTM","2024-05-13 22:07:24","840FTM","0.6789","570.276USDT","FILLED"
"2024-05-13 19:59:01","3819709259","MATICUSDT","Limit","BUY","0.6666","808.6MATIC","2024-05-13 21:51:35","808.6MATIC","0.6666","539.01276USDT","FILLED"
"2024-04-24 20:56:27","5272178787","BNBUSDT","Limit","SELL","616.1","5BNB","2024-04-25 18:13:30","5BNB","616.1","3080.5USDT","FILLED"
